index,block_type,block_csv,correct,is_correct,response,flanker_type,flanker_correct_direction,stroop_text,stroop_color,response time,participant id,participant type
0,stroop,st_b1.csv,y,correct,y,-,-,blue,yellow,1.2192998420005097,ANH01,main
1,stroop,st_b1.csv,g,correct,g,-,-,green,green,0.6861683359993549,ANH01,main
2,stroop,st_b1.csv,r,correct,r,-,-,green,red,0.6097844839996469,ANH01,main
3,stroop,st_b1.csv,b,correct,b,-,-,blue,blue,0.5690281630004392,ANH01,main
4,stroop,st_b1.csv,y,correct,y,-,-,yellow,yellow,0.5891583689999607,ANH01,main
5,stroop,st_b1.csv,y,correct,y,-,-,green,yellow,0.7281117820002692,ANH01,main
6,stroop,st_b1.csv,g,incorrect,b,-,-,yellow,green,0.6971298859998569,ANH01,main
7,stroop,st_b1.csv,g,correct,g,-,-,red,green,0.9235497919999034,ANH01,main
8,stroop,st_b1.csv,g,correct,g,-,-,blue,green,0.5864068909995694,ANH01,main
9,stroop,st_b1.csv,y,correct,y,-,-,red,yellow,0.6403254179995201,ANH01,main
10,stroop,st_b1.csv,b,correct,b,-,-,yellow,blue,0.7355350349998844,ANH01,main
11,stroop,st_b1.csv,r,correct,r,-,-,yellow,red,0.483196692999627,ANH01,main
12,stroop,st_b1.csv,b,incorrect,g,-,-,green,blue,0.5766516100002264,ANH01,main
13,stroop,st_b1.csv,r,correct,r,-,-,blue,red,1.5441599730002054,ANH01,main
14,stroop,st_b1.csv,b,correct,b,-,-,red,blue,0.961275019999448,ANH01,main
15,stroop,st_b1.csv,r,correct,r,-,-,red,red,0.6483354980000513,ANH01,main
16,stroop,st_b1.csv,b,correct,b,-,-,blue,blue,0.5583080129999871,ANH01,main
17,stroop,st_b1.csv,r,correct,r,-,-,blue,red,0.5891999770001348,ANH01,main
18,stroop,st_b1.csv,g,correct,g,-,-,blue,green,0.6734064040001613,ANH01,main
19,stroop,st_b1.csv,y,correct,y,-,-,blue,yellow,0.5530255339999712,ANH01,main
20,stroop,st_b1.csv,r,correct,r,-,-,red,red,0.5695604519996778,ANH01,main
21,stroop,st_b1.csv,g,correct,g,-,-,red,green,0.9509317649999502,ANH01,main
22,stroop,st_b1.csv,y,correct,y,-,-,red,yellow,1.0588222220003445,ANH01,main
23,stroop,st_b1.csv,b,correct,b,-,-,red,blue,0.6845447220002825,ANH01,main
24,stroop,st_b1.csv,g,correct,g,-,-,green,green,0.6254153690006206,ANH01,main
25,stroop,st_b1.csv,y,correct,y,-,-,green,yellow,0.7051241459994344,ANH01,main
26,stroop,st_b1.csv,b,correct,b,-,-,green,blue,0.767333965999569,ANH01,main
27,stroop,st_b1.csv,r,correct,r,-,-,green,red,0.6760132540002814,ANH01,main
28,stroop,st_b1.csv,y,correct,y,-,-,yellow,yellow,0.6539997419995416,ANH01,main
29,stroop,st_b1.csv,b,correct,b,-,-,yellow,blue,0.6840831790004813,ANH01,main
30,stroop,st_b1.csv,r,correct,r,-,-,yellow,red,0.7653354729991406,ANH01,main
31,stroop,st_b1.csv,g,correct,g,-,-,yellow,green,0.8086834850000741,ANH01,main
32,flanker,ft_b1.csv,f,correct,f,incongruent,left,-,-,0.5939698969996243,ANH01,main
33,flanker,ft_b1.csv,j,correct,j,congruent,right,-,-,0.4224095710005713,ANH01,main
34,flanker,ft_b1.csv,f,correct,f,neutral,left,-,-,0.4070214790008322,ANH01,main
35,flanker,ft_b1.csv,f,correct,f,congruent,left,-,-,0.3904947319997518,ANH01,main
36,flanker,ft_b1.csv,f,correct,f,congruent,left,-,-,0.35693004299992026,ANH01,main
37,flanker,ft_b1.csv,j,correct,j,congruent,right,-,-,0.43546256700028607,ANH01,main
38,flanker,ft_b1.csv,j,incorrect,j,neutral,left,-,-,0.2881337930002701,ANH01,main
39,flanker,ft_b1.csv,f,correct,f,neutral,left,-,-,0.44865379800012306,ANH01,main
40,flanker,ft_b1.csv,f,correct,f,incongruent,left,-,-,0.49740339099935227,ANH01,main
41,flanker,ft_b1.csv,f,correct,f,incongruent,left,-,-,0.30363418600063596,ANH01,main
42,flanker,ft_b1.csv,j,correct,j,incongruent,right,-,-,0.44449129900021944,ANH01,main
43,flanker,ft_b1.csv,j,correct,j,incongruent,right,-,-,0.6285178500002075,ANH01,main
44,flanker,ft_b1.csv,j,correct,j,congruent,right,-,-,0.3026413900006446,ANH01,main
45,flanker,ft_b1.csv,j,correct,j,neutral,right,-,-,0.2952772409998943,ANH01,main
46,flanker,ft_b1.csv,j,incorrect,j,congruent,left,-,-,0.29364787900067313,ANH01,main
47,flanker,ft_b1.csv,j,correct,j,neutral,right,-,-,0.38867891100017005,ANH01,main
48,flanker,ft_b1.csv,j,correct,j,incongruent,right,-,-,0.2977123339996979,ANH01,main
49,flanker,ft_b1.csv,j,correct,j,neutral,right,-,-,0.3611652250001498,ANH01,main
50,flanker,ft_b1.csv,f,correct,f,congruent,left,-,-,0.45938052699966647,ANH01,main
51,flanker,ft_b1.csv,f,correct,f,incongruent,left,-,-,0.5239279249999527,ANH01,main
52,flanker,ft_b1.csv,f,correct,f,neutral,left,-,-,0.4077327820004939,ANH01,main
53,flanker,ft_b1.csv,f,correct,f,congruent,left,-,-,0.3674492209993332,ANH01,main
54,flanker,ft_b1.csv,f,correct,f,incongruent,left,-,-,0.39835531800054014,ANH01,main
55,flanker,ft_b1.csv,f,correct,f,neutral,left,-,-,0.43195385099988926,ANH01,main
56,flanker,ft_b1.csv,f,correct,f,congruent,left,-,-,0.359023270999387,ANH01,main
57,flanker,ft_b1.csv,f,correct,f,incongruent,left,-,-,0.5144864679996317,ANH01,main
58,flanker,ft_b1.csv,f,correct,f,neutral,left,-,-,0.39014687999952,ANH01,main
59,flanker,ft_b1.csv,j,correct,j,congruent,right,-,-,0.45787437400031195,ANH01,main
60,flanker,ft_b1.csv,j,correct,j,incongruent,right,-,-,0.39413599599993177,ANH01,main
61,flanker,ft_b1.csv,j,correct,j,neutral,right,-,-,0.25827702500009764,ANH01,main
62,flanker,ft_b1.csv,j,correct,j,congruent,right,-,-,0.3488238330000968,ANH01,main
63,flanker,ft_b1.csv,j,correct,j,incongruent,right,-,-,0.31444000499959657,ANH01,main
64,flanker,ft_b1.csv,j,correct,j,neutral,right,-,-,0.27818695199948706,ANH01,main
65,flanker,ft_b1.csv,j,correct,j,congruent,right,-,-,0.30597822400068253,ANH01,main
66,flanker,ft_b1.csv,j,correct,j,incongruent,right,-,-,0.27755565799998294,ANH01,main
67,flanker,ft_b1.csv,j,correct,j,neutral,right,-,-,0.30164885799968033,ANH01,main
68,stroop,st_b2.csv,r,correct,r,-,-,green,red,2.098915904000023,ANH01,main
69,stroop,st_b2.csv,g,correct,g,-,-,yellow,green,0.9498413620003703,ANH01,main
70,stroop,st_b2.csv,g,correct,g,-,-,blue,green,0.7201397389999329,ANH01,main
71,stroop,st_b2.csv,y,correct,y,-,-,yellow,yellow,0.6113830149997739,ANH01,main
72,stroop,st_b2.csv,y,correct,y,-,-,green,yellow,0.4705332700004874,ANH01,main
73,stroop,st_b2.csv,r,correct,r,-,-,yellow,red,0.6752292430001035,ANH01,main
74,stroop,st_b2.csv,b,correct,b,-,-,red,blue,0.8791132550004477,ANH01,main
75,stroop,st_b2.csv,y,correct,y,-,-,red,yellow,0.5602963869996529,ANH01,main
76,stroop,st_b2.csv,b,correct,b,-,-,green,blue,0.8979429870005333,ANH01,main
77,stroop,st_b2.csv,g,incorrect,r,-,-,red,green,0.6163488070005769,ANH01,main
78,stroop,st_b2.csv,r,correct,r,-,-,blue,red,0.9374299999999494,ANH01,main
79,stroop,st_b2.csv,y,correct,y,-,-,blue,yellow,0.6108631460001561,ANH01,main
80,stroop,st_b2.csv,r,correct,r,-,-,red,red,0.6107575539999743,ANH01,main
81,stroop,st_b2.csv,b,correct,b,-,-,yellow,blue,0.8229223929993168,ANH01,main
82,stroop,st_b2.csv,g,correct,g,-,-,green,green,0.8162205790004009,ANH01,main
83,stroop,st_b2.csv,b,correct,b,-,-,blue,blue,0.9080847730001551,ANH01,main
